t_s,h_km,V_mps,gamma_deg,m_kg,phase
0.0,0.0,464.580703989,0.0,500000.0,vertical
0.05,6.518627516925335e-06,464.58077670290214,0.03216108266775341,499872.53547337773,vertical
0.1,2.608088497072458e-05,464.58099505883513,0.0643457335603441,499745.07094675547,vertical
0.15000000000000002,5.8696337044239044e-05,464.5813593783286,0.09655394091385694,499617.60642013326,vertical
0.2,0.0001043745530769229,464.58186998316324,0.1287856928735108,499490.141893511,vertical
0.25,0.00016312510427087546,464.5825271953705,0.16104097749354793,499362.6773668888,vertical
0.30000000000000004,0.00023495756555348636,464.5833313372319,0.19331978273712544,499235.2128402665,vertical
0.35000000000000003,0.00031988151650875807,464.58428273127805,0.22562209647620743,499107.74831364426,vertical
0.4,0.0004179065376520157,464.5853817002877,0.2579479064914579,498980.28378702205,vertical
0.45,0.0005290422150865197,464.5866285672876,0.290297200472134,498852.8192603998,vertical
0.5,0.0006532981367781759,464.58802365555096,0.322669966015981,498725.3547337776,vertical
0.55,0.0007906838981434703,464.5895672885969,0.35506619062912714,498597.8902071553,vertical
0.6000000000000001,0.0009412090899422764,464.5912597901902,0.38748586172597815,498470.4256805331,vertical
0.65,0.0011048833159729838,464.59310148433957,0.41992896662911694,498342.96115391084,vertical
0.7000000000000001,0.001281716175377369,464.5950926952975,0.4523954925691982,498215.49662728864,vertical
0.75,0.0014717172756791115,464.5972337475594,0.4848854266848473,498088.0321006664,vertical
0.8,0.0016748962253332138,464.5995249658625,0.5173987560225604,497960.5675740441,vertical
0.8500000000000001,0.0018912626365199686,464.6019666751854,0.5499354675366025,497833.1030474219,vertical
0.9,0.002120826127938926,464.6045592007469,0.5824955480889097,497705.63852079964,vertical
0.9500000000000001,0.00236359631549567,464.6073028680055,0.6150789844489893,497578.1739941774,vertical
1.0,0.002619582824409008,464.6101980026585,0.6476857632938225,497450.70946755516,vertical
1.05,0.0028887952798977495,464.613244930641,0.6803158712077676,497323.24494093296,vertical
1.1,0.003171243312768638,464.6164439781254,0.7129692946824625,497195.7804143107,vertical
1.1500000000000001,0.0034669365538284183,464.61979547152026,0.7456460201167311,497068.3158876884,vertical
1.2000000000000002,0.0037758846413344146,464.6232997374698,0.7783460338164871,496940.8513610662,vertical
1.25,0.004098097216337919,464.62695710285277,0.8110693219946408,496813.38683444395,vertical
1.3,0.0044335839189589025,464.63076789478174,0.8438158707710073,496685.92230782175,vertical
1.35,0.004782354397699237,464.6347324406024,0.8765856661722121,496558.4577811995,vertical
1.4000000000000001,0.005144418301992118,464.63885106789263,0.9093786941316013,496430.9932545773,vertical
1.4500000000000002,0.005519785285927356,464.6431241044615,0.9421949404891511,496303.528727955,vertical
1.5,0.005908465006388724,464.64755187834857,0.975034390991473,496176.06420133275,vertical
1.55,0.006310467121191323,464.6521347178233,1.00789703129157,496048.59967471054,vertical
1.6,0.006725801297463477,464.65687295138366,1.0407828469487388,495921.1351480883,vertical
1.6500000000000001,0.007154477200470865,464.6617669077559,1.073691823428555,495793.67062146607,vertical
1.7000000000000002,0.007596504501067102,464.6668169158932,1.1066239461027905,495666.2060948438,vertical
1.75,0.008051892871968449,464.67202330497514,1.1395792002493226,495538.74156822154,vertical
1.8,0.008520651992410422,464.67738640440655,1.1725575710520535,495411.2770415993,vertical
1.85,0.00900279154162854,464.682906543817,1.2055590436008243,495283.81251497706,vertical
1.9000000000000001,0.009498321203514933,464.6885840530597,1.2385836028913326,495156.34798835486,vertical
1.9500000000000002,0.010007250665687025,464.6944192622107,1.2716312338250497,495028.8834617326,vertical
2.0,0.010529589619487524,464.7004125015684,1.3047019212091393,494901.4189351104,vertical
2.0500000000000003,0.011065347757190466,464.7065641016517,1.337795649756377,494773.9544084881,vertical
2.1,0.011614534777589142,464.71287439320025,1.3709124040850724,494646.48988186585,vertical
2.15,0.012177160383202136,464.71934370717304,1.4040521687189869,494519.02535524365,vertical
2.2,0.012753234275616705,464.7259723747475,1.4372149280872613,494391.5608286214,vertical
2.25,0.013342766164802015,464.7327607273188,1.4704006665243317,494264.0963019992,vertical
2.3000000000000003,0.013945765758864581,464.73970909649887,1.5036093682698604,494136.6317753769,vertical
2.35,0.014562242776155471,464.7468178141156,1.5368410174686578,494009.16724875465,vertical
2.4000000000000004,0.015192206932231785,464.75408721221186,1.5700955981706075,493881.70272213244,vertical
2.45,0.01583566794730723,464.7615176230447,1.6033730943305933,493754.2381955102,vertical
2.5,0.016492635549977423,464.7691093790846,1.6366734898084312,493626.77366888797,vertical
2.5500000000000003,0.017163119464181364,464.7768628130142,1.6699967683687909,493499.3091422657,vertical
2.6,0.017847129423171283,464.78477825772774,1.7033429136811302,493371.8446156435,vertical
2.6500000000000004,0.018544675161130727,464.7928560463302,1.7367119093196242,493244.38008902123,vertical
2.7,0.019255766415968538,464.80109651213616,1.7701037387630973,493116.91556239896,vertical
2.75,0.019980412932112813,464.8094999886691,1.8035183853949543,492989.45103577676,vertical
2.8000000000000003,0.020718624451197685,464.81806680966037,1.836955832503114,492861.9865091545,vertical
2.85,0.021470410723239183,464.82679730904846,1.870416063279945,492734.5219825323,vertical
2.9000000000000004,0.02223578150011599,464.83569182097807,1.903899060822198,492607.05745591,vertical
2.95,0.023014746535569428,464.8447506797989,1.937404808130944,492479.59292928776,vertical
3.0,0.02380731558986008,464.8539742200653,1.9709332881115127,492352.12840266555,vertical
3.0500000000000003,0.024613498422317207,464.8633627765348,2.004484483573426,492224.6638760433,vertical
3.1,0.025433304802514614,464.87291668416765,2.038058377230341,492097.1993494211,vertical
3.1500000000000004,0.026266744495369494,464.8826362781258,2.0716549516999883,491969.7348227988,vertical
3.2,0.02711382727511227,464.8925218937715,2.105274189504113,491842.2702961766,vertical
3.25,0.02797456291690469,464.90257386666735,2.1389160730684176,491714.80576955434,vertical
3.3000000000000003,0.028848961198702453,464.91279253257454,2.172580584722502,491587.3412429321,vertical
3.35,0.02973703190125525,464.9231782274521,2.2062677066998106,491459.87671630987,vertical
3.4000000000000004,0.030638784813694656,464.9337312874565,2.2399774211375765,491332.4121896876,vertical
3.45,0.03155422972422093,464.94445204894004,2.2737097100767647,491204.9476630654,vertical
3.5,0.032483376424759625,464.95534084845053,2.3074645554620212,491077.48313644313,vertical
3.5500000000000003,0.033426234710030256,464.9663980227296,2.34124193914162,490950.0186098209,vertical
3.6,0.03438281438034028,464.97762390871276,2.3750418428674123,490822.55408319866,vertical
3.6500000000000004,0.03535312523879111,464.98901884352756,2.408864248294774,490695.0895565764,vertical
3.7,0.03633717709034681,465.00058316449343,2.44270913698256,490567.6250299542,vertical
3.75,0.03733497974462807,465.0123172091201,2.476576490393055,490440.1605033319,vertical
3.8000000000000003,0.038346543014980854,465.02422131510696,2.510466289891922,490312.6959767097,vertical
3.85,0.03937187671661377,465.0362958203423,2.5443785167481616,490185.23145008745,vertical
3.9000000000000004,0.040410990670323374,465.0485410629019,2.5783131521340614,490057.7669234652,vertical
3.95,0.04146389469783753,465.06095738104875,2.6122701771251564,489930.302396843,vertical
4.0,0.04253059862647206,465.0735451132315,2.6462495727001856,489802.8378702207,vertical
4.05,0.04361111228633672,465.08630459808364,2.680251319741046,489675.3733435985,vertical
4.1000000000000005,0.04470544550847262,465.099236174423,2.7142753990327506,489547.90881697624,vertical
4.15,0.045813608130440116,465.11234018125026,2.7483217912633964,489420.44429035403,vertical
4.2,0.04693560999352485,465.1256169577482,2.7823904770241144,489292.97976373177,vertical
4.25,0.04807146093994379,465.13906684328094,2.8164814368090396,489165.5152371095,vertical
4.3,0.04922117081470787,465.1526901773928,2.8505946510152684,489038.0507104873,vertical
4.3500000000000005,0.050384749471209946,465.1664872998071,2.8847300999428294,488910.58618386503,vertical
4.4,0.05156220676098019,465.18045855042584,2.9188877637946358,488783.1216572428,vertical
4.45,0.05275355254113674,465.19460426932824,2.9530676226764667,488655.65713062056,vertical
4.5,0.053958796673454344,465.20892479676974,2.987269656596924,488528.19260399835,vertical
4.55,0.055177949018776415,465.22342047318165,3.0214938454674014,488400.7280773761,vertical
4.6000000000000005,0.05641101944632828,465.2380916391695,3.0557401691020574,488273.2635507538,vertical
4.65,0.05765801782626659,465.25293863551224,3.0900086072177797,488145.7990241316,vertical
4.7,0.058918954031541945,465.26796180316177,3.1242991394341644,488018.33449750935,vertical
4.75,0.0601938379406929,465.28316148324114,3.1586117452734808,487890.86997088714,vertical
4.800000000000001,0.06148267943318933,465.29853801704445,3.1929464041606472,487763.4054442649,vertical
4.8500000000000005,0.06278548839408904,465.3140917460352,3.2273030954232045,487635.9409176426,vertical
4.9,0.06410227471217513,465.3298230118458,3.261681798291294,487508.4763910204,vertical
4.95,0.06543304827436805,465.34573215627614,3.2960824918976335,487381.01186439814,vertical
5.0,0.06677781898062676,465.36181952129306,3.33050515527749,487253.54733777593,vertical
5.050000000000001,0.06813659672252834,465.37808544902936,3.3649497673686652,487126.08281115367,vertical
5.1000000000000005,0.06950939140561968,465.3945302817822,3.39941630701147,486998.61828453146,vertical
5.15,0.07089621293265372,465.41115436201295,3.4339047529487075,486871.1537579092,vertical
5.2,0.07229707121104002,465.42795803234577,3.468415083825654,486743.68923128693,vertical
5.25,0.07371197615377605,465.44494163556664,3.5029472781900437,486616.2247046647,vertical
5.300000000000001,0.07514093767479062,465.4621055146226,3.5375013144920513,486488.76017804246,vertical
5.3500000000000005,0.07658396569080651,465.47945001262025,3.572077171084274,486361.29565142025,vertical
5.4,0.07804107012692839,465.49697547282574,3.6066748262217216,486233.831124798,vertical
5.45,0.07951226090453566,465.51468223866254,3.641294258061806,486106.3665981758,vertical
5.5,0.0809975479543209,465.5325706537117,3.6759354446643226,485978.9020715535,vertical
5.550000000000001,0.08249694120697677,465.55064106170977,3.710598363991447,485851.43754493125,vertical
5.6000000000000005,0.08401045059878379,465.5688938065485,3.7452829939077175,485723.97301830904,vertical
5.65,0.08553808606602252,465.5873292322738,3.7799893121800348,485596.5084916868,vertical
5.7,0.08707985755521803,465.6059476830845,3.8147172964776486,485469.0439650646,vertical
5.75,0.08863577500823885,465.6247495033313,3.849466924372157,485341.5794384423,vertical
5.800000000000001,0.09020584837440401,465.6437350375162,3.884238173337494,485214.11491182004,vertical
5.8500000000000005,0.09179008760489524,465.6629046302911,3.919031020749936,485086.65038519783,vertical
5.9,0.09338850266020746,465.6822586264572,3.953845443888086,484959.18585857557,vertical
5.95,0.09500110349431634,465.70179737096345,3.9886814199328837,484831.72133195336,vertical
6.0,0.09662790007237344,465.7215212089059,4.023538925967601,484704.2568053311,vertical
6.050000000000001,0.09826890236046165,465.7414304855271,4.058417938977836,484576.79227870883,vertical
6.1000000000000005,0.09992412032745779,465.76152554621405,4.093318435851524,484449.3277520866,vertical
6.15,0.10159356394596399,465.7818067364983,4.128240393378936,484321.86322546436,vertical
6.2,0.10327724319323897,465.8022744020544,4.1631837882526845,484194.39869884215,vertical
6.25,0.10497516804747284,465.82292888869875,4.198148597067722,484066.9341722199,vertical
6.300000000000001,0.10668734849337488,465.84377054238905,4.233134796321361,483939.4696455977,vertical
6.3500000000000005,0.10841379451751709,465.8647997092229,4.268142362413262,483812.0051189754,vertical
6.4,0.11015451610833406,465.8860167354372,4.3031712716454615,483684.54059235315,vertical
6.45,0.11190952326264232,465.9074219674066,4.338221500222367,483557.07606573094,vertical
6.5,0.1136788259735331,465.92901575164313,4.373293024250778,483429.6115391087,vertical
6.550000000000001,0.11546243424341082,465.9507984347947,4.4083858197398875,483302.1470124865,vertical
6.6000000000000005,0.11726035807561129,465.9727703636442,4.443499862601306,483174.6824858642,vertical
6.65,0.1190726074790582,465.99493188510866,4.478635128649067,483047.21795924194,vertical
6.7,0.12089919246081263,466.0172833462381,4.513791593599646,482919.75343261973,vertical
6.75,0.12274012303818017,466.03982509421456,4.548969233071976,482792.28890599747,vertical
6.800000000000001,0.12459540922846644,466.06255747635106,4.584168022587473,482664.82437937526,vertical
6.8500000000000005,0.12646506105177105,466.08548084009067,4.619387937570037,482537.359852753,vertical
6.9,0.1283490885309875,466.1085955330054,4.654628953346088,482409.8953261308,vertical
6.95,0.13024750169739127,466.13190190279516,4.689891045144578,482282.4307995085,vertical
7.0,0.13216031058039515,466.15540029728686,4.725174188097025,482154.96627288626,vertical
7.050000000000001,0.13408752521593123,466.1790910644334,4.760478357237518,482027.50174626405,vertical
7.1000000000000005,0.1360291556417942,466.2029745523125,4.795803527502758,481900.0372196418,vertical
7.15,0.13798521189950408,466.22705110912597,4.831149673732079,481772.5726930196,vertical
7.2,0.13995570403523744,466.2513210831982,4.866516770667464,481645.1081663973,vertical
7.25,0.14194064209703355,466.27578482297577,4.9019047929535935,481517.64363977505,vertical
7.300000000000001,0.14394003613572567,466.3004426770258,4.9373137151378605,481390.17911315284,vertical
7.3500000000000005,0.1459538962095976,466.3252949940355,4.9727435116704015,481262.7145865306,vertical
7.4,0.1479822323769331,466.35034212281084,5.008194156904131,481135.2500599084,vertical
7.45,0.15002505469880997,466.3755844122755,5.043665625094779,481007.7855332861,vertical
7.5,0.15208237324282528,466.40102221146986,5.079157890400919,480880.32100666384,vertical
7.550000000000001,0.15415419807843864,466.42665586955036,5.114670926884001,480752.85648004164,vertical
7.6000000000000005,0.15624053927883505,466.45248573578783,5.150204708508391,480625.39195341937,vertical
7.65,0.1583414069181308,466.47851215956706,5.185759209141414,480497.92742679716,vertical
7.7,0.16045681108068674,466.5047354903853,5.221334402553385,480370.4629001749,vertical
7.75,0.16258676184620707,466.5311560778516,5.256930262417651,480242.99837355263,vertical
7.800000000000001,0.16473126930277796,466.5577742716857,5.292546762310635,480115.5338469304,vertical
7.8500000000000005,0.16689034354127943,466.58459042171694,5.32818387571187,479988.06932030816,vertical
7.9,0.1690639946553856,466.611604877883,5.363841576004058,479860.60479368595,vertical
7.95,0.17125223274249585,466.6388179902295,5.399519836473095,479733.1402670637,vertical
8.0,0.17345506790466605,466.66623010890834,5.435218630308137,479605.6757404415,vertical
8.05,0.1756725102448836,466.69384158417705,5.470937930601633,479478.2112138192,vertical
8.1,0.177904569869861,466.72165276639765,5.506677710349376,479350.74668719695,vertical
8.15,0.18015125689376146,466.7496640060356,5.542437942450559,479223.28216057474,vertical
8.200000000000001,0.1824125814307481,466.7778756536588,5.578218599707814,479095.8176339525,vertical
8.25,0.1846885535987094,466.8062880599365,5.614019654827275,478968.3531073303,vertical
8.3,0.1869791835201904,466.8349015756385,5.649841080418631,478840.888580708,vertical
8.35,0.18928448131866754,466.86371655163384,5.685682848995168,478713.42405408574,vertical
8.4,0.19160445712599902,466.89273333888985,5.721544932973845,478585.95952746354,vertical
8.450000000000001,0.1939391210731119,466.9219522884714,5.757427304675325,478458.49500084127,vertical
8.5,0.19628848329652102,466.9513737515393,5.793329936324054,478331.03047421906,vertical
8.55,0.19865255393460393,466.9809980793499,5.829252800048318,478203.5659475968,vertical
8.6,0.2010313431331888,467.01082562325365,5.865195867880286,478076.10142097453,vertical
8.65,0.20342486103530974,467.0408567346941,5.9011591117561,477948.6368943523,vertical
8.700000000000001,0.20583311779331415,467.0710917652073,5.937142503515908,477821.17236773006,vertical
8.75,0.2082561235614121,467.10153106642,5.973146014903949,477693.70784110785,vertical
8.8,0.2106938884947449,467.13217499004935,6.009169617568614,477566.2433144856,vertical
8.85,0.21314642275497317,467.16302388790166,6.045213283062504,477438.7787878633,vertical
8.9,0.21561373650748283,467.194078111871,6.081276982842508,477311.3142612411,vertical
8.950000000000001,0.21809583991859108,467.2253380139387,6.117360688269869,477183.84973461885,vertical
9.0,0.2205927431602031,467.25680394617194,6.153464370610248,477056.38520799665,vertical
