t_s,h_km,V_mps,gamma_deg,m_kg,phi_deg,phase
0.0,0.0,464.580703989,0.0,500000.0,90.0,vertical
0.05,6.518627516925335e-06,464.58077670290214,0.03216108266775341,499872.53547337773,90.0,vertical
0.1,2.608088497072458e-05,464.58099505883513,0.0643457335603441,499745.07094675547,90.0,vertical
0.15000000000000002,5.8696337044239044e-05,464.5813593783286,0.09655394091385694,499617.60642013326,90.0,vertical
0.2,0.0001043745530769229,464.58186998316324,0.1287856928735108,499490.141893511,90.0,vertical
0.25,0.00016312510427087546,464.5825271953705,0.16104097749354793,499362.6773668888,90.0,vertical
0.30000000000000004,0.00023495756555348636,464.5833313372319,0.19331978273712544,499235.2128402665,90.0,vertical
0.35000000000000003,0.00031988151650875807,464.58428273127805,0.22562209647620743,499107.74831364426,90.0,vertical
0.4,0.0004179065376520157,464.5853817002877,0.2579479064914579,498980.28378702205,90.0,vertical
0.45,0.0005290422150865197,464.5866285672876,0.290297200472134,498852.8192603998,90.0,vertical
0.5,0.0006532981367781759,464.58802365555096,0.322669966015981,498725.3547337776,90.0,vertical
0.55,0.0007906838981434703,464.5895672885969,0.35506619062912714,498597.8902071553,90.0,vertical
0.6000000000000001,0.0009412090899422764,464.5912597901902,0.38748586172597815,498470.4256805331,90.0,vertical
0.65,0.0011048833159729838,464.59310148433957,0.41992896662911694,498342.96115391084,90.0,vertical
0.7000000000000001,0.001281716175377369,464.5950926952975,0.4523954925691982,498215.49662728864,90.0,vertical
0.75,0.0014717172756791115,464.5972337475594,0.4848854266848473,498088.0321006664,90.0,vertical
0.8,0.0016748962253332138,464.5995249658625,0.5173987560225604,497960.5675740441,90.0,vertical
0.8500000000000001,0.0018912626365199686,464.6019666751854,0.5499354675366025,497833.1030474219,90.0,vertical
0.9,0.002120826127938926,464.6045592007469,0.5824955480889097,497705.63852079964,90.0,vertical
0.9500000000000001,0.00236359631549567,464.6073028680055,0.6150789844489893,497578.1739941774,90.0,vertical
1.0,0.002619582824409008,464.6101980026585,0.6476857632938225,497450.70946755516,90.0,vertical
1.05,0.0028887952798977495,464.613244930641,0.6803158712077676,497323.24494093296,90.0,vertical
1.1,0.003171243312768638,464.6164439781254,0.7129692946824625,497195.7804143107,90.0,vertical
1.1500000000000001,0.0034669365538284183,464.61979547152026,0.7456460201167311,497068.3158876884,90.0,vertical
1.2000000000000002,0.0037758846413344146,464.6232997374698,0.7783460338164871,496940.8513610662,90.0,vertical
1.25,0.004098097216337919,464.62695710285277,0.8110693219946408,496813.38683444395,90.0,vertical
1.3,0.0044335839189589025,464.63076789478174,0.8438158707710073,496685.92230782175,90.0,vertical
1.35,0.004782354397699237,464.6347324406024,0.8765856661722121,496558.4577811995,90.0,vertical
1.4000000000000001,0.005144418301992118,464.63885106789263,0.9093786941316013,496430.9932545773,90.0,vertical
1.4500000000000002,0.005519785285927356,464.6431241044615,0.9421949404891511,496303.528727955,90.0,vertical
1.5,0.005908465006388724,464.64755187834857,0.975034390991473,496176.06420133275,90.0,vertical
1.55,0.006310467121191323,464.6521347178233,1.00789703129157,496048.59967471054,90.0,vertical
1.6,0.006725801297463477,464.65687295138366,1.0407828469487388,495921.1351480883,90.0,vertical
1.6500000000000001,0.007154477200470865,464.6617669077559,1.073691823428555,495793.67062146607,90.0,vertical
1.7000000000000002,0.007596504501067102,464.6668169158932,1.1066239461027905,495666.2060948438,90.0,vertical
1.75,0.008051892871968449,464.67202330497514,1.1395792002493226,495538.74156822154,90.0,vertical
1.8,0.008520651992410422,464.67738640440655,1.1725575710520535,495411.2770415993,90.0,vertical
1.85,0.00900279154162854,464.682906543817,1.2055590436008243,495283.81251497706,90.0,vertical
1.9000000000000001,0.009498321203514933,464.6885840530597,1.2385836028913326,495156.34798835486,90.0,vertical
1.9500000000000002,0.010007250665687025,464.6944192622107,1.2716312338250497,495028.8834617326,90.0,vertical
2.0,0.010529589619487524,464.7004125015684,1.3047019212091393,494901.4189351104,90.0,vertical
2.0500000000000003,0.011065347757190466,464.7065641016517,1.337795649756377,494773.9544084881,90.0,vertical
2.1,0.011614534777589142,464.71287439320025,1.3709124040850724,494646.48988186585,90.0,vertical
2.15,0.012177160383202136,464.71934370717304,1.4040521687189869,494519.02535524365,90.0,vertical
2.2,0.012753234275616705,464.7259723747475,1.4372149280872613,494391.5608286214,90.0,vertical
2.25,0.013342766164802015,464.7327607273188,1.4704006665243317,494264.0963019992,90.0,vertical
2.3000000000000003,0.013945765758864581,464.73970909649887,1.5036093682698604,494136.6317753769,90.0,vertical
2.35,0.014562242776155471,464.7468178141156,1.5368410174686578,494009.16724875465,90.0,vertical
2.4000000000000004,0.015192206932231785,464.75408721221186,1.5700955981706075,493881.70272213244,90.0,vertical
2.45,0.01583566794730723,464.7615176230447,1.6033730943305933,493754.2381955102,90.0,vertical
2.5,0.016492635549977423,464.7691093790846,1.6366734898084312,493626.77366888797,90.0,vertical
2.5500000000000003,0.017163119464181364,464.7768628130142,1.6699967683687909,493499.3091422657,90.0,vertical
2.6,0.017847129423171283,464.78477825772774,1.7033429136811302,493371.8446156435,90.0,vertical
2.6500000000000004,0.018544675161130727,464.7928560463302,1.7367119093196242,493244.38008902123,90.0,vertical
2.7,0.019255766415968538,464.80109651213616,1.7701037387630973,493116.91556239896,90.0,vertical
2.75,0.019980412932112813,464.8094999886691,1.8035183853949543,492989.45103577676,90.0,vertical
2.8000000000000003,0.020718624451197685,464.81806680966037,1.836955832503114,492861.9865091545,90.0,vertical
2.85,0.021470410723239183,464.82679730904846,1.870416063279945,492734.5219825323,90.0,vertical
2.9000000000000004,0.02223578150011599,464.83569182097807,1.903899060822198,492607.05745591,90.0,vertical
2.95,0.023014746535569428,464.8447506797989,1.937404808130944,492479.59292928776,90.0,vertical
3.0,0.02380731558986008,464.8539742200653,1.9709332881115127,492352.12840266555,90.0,vertical
