t_s,h_km,V_inertial_mps,gamma_inertial_deg,gamma_rel_deg,m_kg,T_N,phase
0.0,0.0,464.580703989,0.0,0.0,500000.0,7500000.0,vertical
0.05,6.518627516925335e-06,464.58077670290214,0.03216108266775341,90.0002088781919,499872.53547337773,7500000.0,vertical
0.1,2.608088497072458e-05,464.58099505883513,0.0643457335603441,90.00041770533345,499745.07094675547,7500000.0,vertical
0.15000000000000002,5.8696337044239044e-05,464.5813593783286,0.09655394091385694,90.00062648141129,499617.60642013326,7500000.0,vertical
0.2,0.0001043745530769229,464.58186998316324,0.1287856928735108,90.00083520644017,499490.141893511,7500000.0,vertical
0.25,0.00016312510427087546,464.5825271953705,0.16104097749354793,90.0010438804374,499362.6773668888,7500000.0,vertical
0.30000000000000004,0.00023495756555348636,464.5833313372319,0.19331978273712544,90.00125250340812,499235.2128402665,7500000.0,vertical
0.35000000000000003,0.00031988151650875807,464.58428273127805,0.22562209647620743,90.00146107536126,499107.74831364426,7500000.0,vertical
0.4,0.0004179065376520157,464.5853817002877,0.2579479064914579,90.00166959630711,498980.28378702205,7500000.0,vertical
0.45,0.0005290422150865197,464.5866285672876,0.290297200472134,90.00187806625244,498852.8192603998,7500000.0,vertical
0.5,0.0006532981367781759,464.58802365555096,0.322669966015981,90.002086485206,498725.3547337776,7500000.0,vertical
0.55,0.0007906838981434703,464.5895672885969,0.35506619062912714,90.00229485318214,498597.8902071553,7500000.0,vertical
0.6000000000000001,0.0009412090899422764,464.5912597901902,0.38748586172597815,90.00250317018394,498470.4256805331,7500000.0,vertical
0.65,0.0011048833159729838,464.59310148433957,0.41992896662911694,90.00271143622393,498342.96115391084,7500000.0,vertical
0.7000000000000001,0.001281716175377369,464.5950926952975,0.4523954925691982,90.00291965131166,498215.49662728864,7500000.0,vertical
0.75,0.0014717172756791115,464.5972337475594,0.4848854266848473,90.00312781545401,498088.0321006664,7500000.0,vertical
0.8,0.0016748962253332138,464.5995249658625,0.5173987560225604,90.0033359286591,497960.5675740441,7500000.0,vertical
0.8500000000000001,0.0018912626365199686,464.6019666751854,0.5499354675366025,90.00354399093807,497833.1030474219,7500000.0,vertical
0.9,0.002120826127938926,464.6045592007469,0.5824955480889097,90.00375200230015,497705.63852079964,7500000.0,vertical
0.9500000000000001,0.00236359631549567,464.6073028680055,0.6150789844489893,90.00395996275255,497578.1739941774,7500000.0,vertical
1.0,0.002619582824409008,464.6101980026585,0.6476857632938225,90.00416787230519,497450.70946755516,7500000.0,vertical
1.05,0.0028887952798977495,464.613244930641,0.6803158712077676,90.00437573096605,497323.24494093296,7500000.0,vertical
1.1,0.003171243312768638,464.6164439781254,0.7129692946824625,90.00458353874437,497195.7804143107,7500000.0,vertical
1.1500000000000001,0.0034669365538284183,464.61979547152026,0.7456460201167311,90.00479129564934,497068.3158876884,7500000.0,vertical
1.2000000000000002,0.0037758846413344146,464.6232997374698,0.7783460338164871,90.00499900168897,496940.8513610662,7500000.0,vertical
1.25,0.004098097216337919,464.62695710285277,0.8110693219946408,90.00520665687247,496813.38683444395,7500000.0,vertical
1.3,0.0044335839189589025,464.63076789478174,0.8438158707710073,90.00541426120802,496685.92230782175,7500000.0,vertical
1.35,0.004782354397699237,464.6347324406024,0.8765856661722121,90.00562181470387,496558.4577811995,7500000.0,vertical
1.4000000000000001,0.005144418301992118,464.63885106789263,0.9093786941316013,90.00582931736928,496430.9932545773,7500000.0,vertical
1.4500000000000002,0.005519785285927356,464.6431241044615,0.9421949404891511,90.00603676921298,496303.528727955,7500000.0,vertical
1.5,0.005908465006388724,464.64755187834857,0.975034390991473,90.00624417024338,496176.06420133275,7500000.0,vertical
1.55,0.006310467121191323,464.6521347178233,1.00789703129157,90.00645152046808,496048.59967471054,7500000.0,vertical
1.6,0.006725801297463477,464.65687295138366,1.0407828469487388,90.00665881989683,495921.1351480883,7500000.0,vertical
1.6500000000000001,0.007154477200470865,464.6617669077559,1.073691823428555,90.00686606853739,495793.67062146607,7500000.0,vertical
1.7000000000000002,0.007596504501067102,464.6668169158932,1.1066239461027905,90.00707326639801,495666.2060948438,7500000.0,vertical
1.75,0.008051892871968449,464.67202330497514,1.1395792002493226,90.00728041348741,495538.74156822154,7500000.0,vertical
1.8,0.008520651992410422,464.67738640440655,1.1725575710520535,90.00748750981394,495411.2770415993,7500000.0,vertical
1.85,0.00900279154162854,464.682906543817,1.2055590436008243,90.00769455538577,495283.81251497706,7500000.0,vertical
1.9000000000000001,0.009498321203514933,464.6885840530597,1.2385836028913326,90.00790155021139,495156.34798835486,7500000.0,vertical
1.9500000000000002,0.010007250665687025,464.6944192622107,1.2716312338250497,90.00810849429908,495028.8834617326,7500000.0,vertical
2.0,0.010529589619487524,464.7004125015684,1.3047019212091393,90.00831538765627,494901.4189351104,7500000.0,vertical
2.0500000000000003,0.011065347757190466,464.7065641016517,1.337795649756377,90.00852223029145,494773.9544084881,7500000.0,vertical
2.1,0.011614534777589142,464.71287439320025,1.3709124040850724,90.00872902221373,494646.48988186585,7500000.0,vertical
2.15,0.012177160383202136,464.71934370717304,1.4040521687189869,90.00893576343024,494519.02535524365,7500000.0,vertical
2.2,0.012753234275616705,464.7259723747475,1.4372149280872613,90.00914245394966,494391.5608286214,7500000.0,vertical
2.25,0.013342766164802015,464.7327607273188,1.4704006665243317,90.00934909377992,494264.0963019992,7500000.0,vertical
2.3000000000000003,0.013945765758864581,464.73970909649887,1.5036093682698604,90.00955568292878,494136.6317753769,7500000.0,vertical
2.35,0.014562242776155471,464.7468178141156,1.5368410174686578,90.00976222140433,494009.16724875465,7500000.0,vertical
2.4000000000000004,0.015192206932231785,464.75408721221186,1.5700955981706075,90.00996870921458,493881.70272213244,7500000.0,vertical
2.45,0.01583566794730723,464.7615176230447,1.6033730943305933,90.01017514636754,493754.2381955102,7500000.0,vertical
2.5,0.016492635549977423,464.7691093790846,1.6366734898084312,90.0103815328714,493626.77366888797,7500000.0,vertical
2.5500000000000003,0.017163119464181364,464.7768628130142,1.6699967683687909,90.01058786873368,493499.3091422657,7500000.0,vertical
2.6,0.017847129423171283,464.78477825772774,1.7033429136811302,90.01079415396222,493371.8446156435,7500000.0,vertical
2.6500000000000004,0.018544675161130727,464.7928560463302,1.7367119093196242,90.01100038856504,493244.38008902123,7500000.0,vertical
2.7,0.019255766415968538,464.80109651213616,1.7701037387630973,90.01120657254975,493116.91556239896,7500000.0,vertical
2.75,0.019980412932112813,464.8094999886691,1.8035183853949543,90.01141270592451,492989.45103577676,7500000.0,vertical
2.8000000000000003,0.020718624451197685,464.81806680966037,1.836955832503114,90.01161878869675,492861.9865091545,7500000.0,vertical
2.85,0.021470410723239183,464.82679730904846,1.870416063279945,90.01182482087397,492734.5219825323,7500000.0,vertical
2.9000000000000004,0.02223578150011599,464.83569182097807,1.903899060822198,90.01203080246448,492607.05745591,7500000.0,vertical
2.95,0.023014746535569428,464.8447506797989,1.937404808130944,90.01223673347535,492479.59292928776,7500000.0,vertical
3.0,0.02380731558986008,464.8539742200653,1.9709332881115127,90.01244261391446,492352.12840266555,7500000.0,vertical
3.0500000000000003,0.024613498422317207,464.8633627765348,2.004484483573426,90.01264844378939,492224.6638760433,7500000.0,vertical
3.1,0.025433304802514614,464.87291668416765,2.038058377230341,90.01285422310762,492097.1993494211,7500000.0,vertical
3.1500000000000004,0.026266744495369494,464.8826362781258,2.0716549516999883,90.01305995187677,491969.7348227988,7500000.0,vertical
3.2,0.02711382727511227,464.8925218937715,2.105274189504113,90.01326563010436,491842.2702961766,7500000.0,vertical
3.25,0.02797456291690469,464.90257386666735,2.1389160730684176,90.01347125779819,491714.80576955434,7500000.0,vertical
3.3000000000000003,0.028848961198702453,464.91279253257454,2.172580584722502,90.01367683496514,491587.3412429321,7500000.0,vertical
3.35,0.02973703190125525,464.9231782274521,2.2062677066998106,90.01388236161269,491459.87671630987,7500000.0,vertical
3.4000000000000004,0.030638784813694656,464.9337312874565,2.2399774211375765,90.01408783774849,491332.4121896876,7500000.0,vertical
3.45,0.03155422972422093,464.94445204894004,2.2737097100767647,90.01429326338011,491204.9476630654,7500000.0,vertical
3.5,0.032483376424759625,464.95534084845053,2.3074645554620212,90.01449863851423,491077.48313644313,7500000.0,vertical
3.5500000000000003,0.033426234710030256,464.9663980227296,2.34124193914162,90.01470396315878,490950.0186098209,7500000.0,vertical
3.6,0.03438281438034028,464.97762390871276,2.3750418428674123,90.01490923732071,490822.55408319866,7500000.0,vertical
3.6500000000000004,0.03535312523879111,464.98901884352756,2.408864248294774,90.01511446100754,490695.0895565764,7500000.0,vertical
3.7,0.03633717709034681,465.00058316449343,2.44270913698256,90.01531963422612,490567.6250299542,7500000.0,vertical
3.75,0.03733497974462807,465.0123172091201,2.476576490393055,90.01552475698375,490440.1605033319,7500000.0,vertical
3.8000000000000003,0.038346543014980854,465.02422131510696,2.510466289891922,90.01572982928786,490312.6959767097,7500000.0,vertical
3.85,0.03937187671661377,465.0362958203423,2.5443785167481616,90.01593485114536,490185.23145008745,7500000.0,vertical
3.9000000000000004,0.040410990670323374,465.0485410629019,2.5783131521340614,90.01613982256346,490057.7669234652,7500000.0,vertical
