experiment,tag,h1_km,v1_mps,h2_km,v2_mps,gamma2_deg,qmax_kpa,dh_km,dvr_mps,dvt_mps,prop_kg,label
q1_atmosphere,名义参数,109.26499457593764,3260.185150725417,433.5267958524146,8521.179332446762,-0.6860109552286339,27.87743124716982,,,,,
q1_atmosphere,密度 ×0.8,109.53985537924927,3262.7629705720756,436.6946605152207,8519.113476409646,-0.6062980996798845,27.982377559184535,,,,,
q1_atmosphere,密度 ×1.2,108.99103578478298,3257.6080588545287,430.3629382535446,8523.245982888564,-0.7656265432899754,27.77318722359254,,,,,
q1_atmosphere,C_D ×0.9,109.40231215671247,3261.4739816383426,435.11023501818,8520.14630525262,-0.6461664659702756,27.929827835289505,,,,,
q1_atmosphere,C_D ×1.1,109.12790265778403,3258.896512708485,431.94436606913223,8522.212558489007,-0.7258309090564724,27.825234029844136,,,,,
q2_open_loop,,,,,,,,0.0,9.094947017729282e-13,9.094947017729282e-13,4014.715887228602,名义参数
q2_open_loop,,,,,,,,4.95864757554885,40.177652008130735,103.56697288164469,3434.863046100876,二级推力 +1%
q2_open_loop,,,,,,,,-4.899769370687194,-39.3322194180696,-100.8629145257737,4594.568728356324,二级推力 -1%
q2_open_loop,,,,,,,,-1.3461104582836851,-15.341367743060802,-52.08894986060204,4588.82761111742,二级比冲 +1%
q2_open_loop,,,,,,,,1.3959612396676093,16.057245372050602,54.86555832662361,3429.0059466955827,二级比冲 -1%
q2_open_loop,,,,,,,,2.866383015059866,9.143892926954777,-1.8927518111149766,4014.7158872285436,密度 ×0.8
q2_open_loop,,,,,,,,-2.862531052067876,-9.137209842999255,1.8820907602566879,4014.7158872285618,密度 ×1.2
q2_open_loop,,,,,,,,1.4327165145426988,4.571133902140446,-0.9450395425837997,4014.715887228602,C_D ×0.9
q2_open_loop,,,,,,,,-1.4317469870392232,-4.569441146389636,0.9423758184811958,4014.7158872285436,C_D ×1.1
q3_open_loop,,,,,,,,-0.00042316142283380033,-0.0040001680217756075,0.00045501192562369397,4553.065556498423,名义参数
q3_open_loop,,,,,,,,2.547914795438759,25.888934224053173,103.4077862638951,3978.596212063345,二级推力 +1%
q3_open_loop,,,,,,,,-2.514339385061525,-25.30712673575954,-100.81311090877807,5127.534900933377,二级推力 -1%
q3_open_loop,,,,,,,,-0.6610266204383224,-9.449533941449317,-50.72102077157888,5121.847085641959,二级比冲 +1%
q3_open_loop,,,,,,,,0.6841511544762179,9.878802674267263,53.36347121806011,3972.7934914125835,二级比冲 -1%
